MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;A Scaleable and Extensible Online Platform for Spatial IT;Android Go-App;Automatische Teameinteilung für PSE;Crayons 2.0: Design und Implementierung eines Web-Basierten Autoren- und Tutorsystems;Der Microsoft Imagine Cup 2017 (nur 4er Teams);Design und Implementierung einer Webapplikation zur Trendanalyse von Zeitreihen;Entwicklung einer App für virtuelle Flächen in Dynamics CRM;Entwicklung eines interaktiven Feedbacksystems basierend auf RStudio Shiny für Daten aus ESM-Anwendungen für Android;Entwicklung eines SmartCampus-Microservices (HTML5, CSS3, JavaScript, Java, RESTful);Grafischer Editor für IT-Security-Tests;High-Performance Interactive Video Wall;Implementierung eines OPC UA Systemadapters für den Industrial Data Space;Modular Multimedia Framework to Test Video Encoding (auf Englisch);Next generation workflow engine für den Pathologiemarkt;OpenPowerViz: POWERLINK Real-time Ethernet Visualization;Privacy-Crashcam-App für Android;Robot Health Monitoring;Serveless System für mobile Internet der Dinge Anwendungen;Software Kompatibilität auf allen Ebenen;Stromverbrauchsanalyse an einem realen HPC-System;Studienplanung als Generierung von Workflows mit Compliance-Anforderungen: Planerstellung und Visualisierung;Werkzeug zur Analyse formaler Eigenschaften von Wahlverfahren;Werkzeug zur Spezifikation und Verifikation von Software für Produktionsanlagen;„Internet der Dinge“ Web-Dashboard;
903853;Hwie-Tjong;Bülow;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;5;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2008;5;HM,SWT,Algo;;1;3;5;4;5;1;4;4;1;3;1;2;2;3;2;5;3;3;5;4;5;2;2;2
904058;Heiner;Böttner;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;32;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;3;1;4;1;1;5;4;4;1;5;1;2;2;3;3;2;5;1;4;1;2;1;1;5
909695;Oezer;Biedermann;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;14;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;3;5;4;3;1;3;4;4;2;3;4;1;1;3;1;5;5;2;3;3;4;2;3;4
918935;Dzanic;Preiß;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;35;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,LA;;2;1;2;3;1;2;2;2;3;3;5;4;2;3;2;5;4;4;3;1;3;1;1;2
932434;Alastair;Bartl;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;6;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;2;5;5;4;1;4;1;3;4;1;1;2;4;1;2;4;2;2;5;4;1;1;1;2
943096;Akdar;Henkel;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;24;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;3;5;5;5;1;1;1;5;5;1;1;1;1;1;1;5;3;4;1;3;1;3;1;3
944829;Hojat;Hopp;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;21;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;1;2;5;1;2;3;2;2;4;2;4;1;2;3;2;5;5;4;2;3;5;5;4;4
970276;Yusef;Holstein;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;5;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2008;5;HM,SWT,Algo;;1;3;5;4;5;1;4;4;1;3;1;2;2;3;2;5;3;3;5;4;5;2;2;2
971811;Fanco;Zipfel;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;20;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,Algo,LA;;3;1;2;1;5;1;1;1;3;3;4;1;4;4;4;3;5;5;1;3;2;1;1;2
977612;Paco;Hinzmann;e@mail.de;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;16;$2a$10$Ol25FqONWqOxLpwcnmaSSOHY0FZus56Z/ipYX1ZYozuTiMCYag8Aa;2015;3;HM,SWT,LA;;1;2;5;4;1;5;2;1;4;3;2;1;2;2;2;4;3;1;2;1;5;4;2;4
